Team,Player #,Pos,Player,Player abbrev,GP,G,A,EV G,EV A,SOG,G/GP,A/GP,EV G/GP,EV A/GP,SOG/GP,EV +,EV -,EV GF %
Grand Rapids Griffins,7,D,Ryan Sproul,R. Sproul,30,3,10,3,7,72,0.10,0.33,0.10,0.23,2.40,20,19,0.51
Iowa Wild,15,F,Ryan Walters,R. Walters,10,1,5,1,4,19,0.10,0.50,0.10,0.40,1.90,8,6,0.57
Lehigh Valley Phantoms,39,C,Ryan White,R. White,3,0,0,0,0,2,0.00,0.00,0.00,0.00,0.67,1,2,0.33
Worcester Sharks,27,C,Rylan Schwartz,R. Schwartz,19,0,5,0,3,21,0.00,0.26,0.00,0.16,1.11,5,8,0.38
Wilkes-Barre/Scranton Penguins,33,LW,Sahir Gill,S. Gill,12,1,2,1,1,15,0.08,0.17,0.08,0.08,1.25,3,2,0.60
Toronto Marlies,16,C,Sam Carrick,S. Carrick,31,3,13,2,8,63,0.10,0.42,0.06,0.26,2.03,12,18,0.40
Lake Erie Monsters,42,C,Sam Henley,S. Henley,28,2,4,2,4,21,0.07,0.14,0.07,0.14,0.75,10,13,0.43
Lake Erie Monsters,74,G,Sami Aittokallio,S. Aittokallio,9,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Hartford Wolf Pack,6,D,Samuel Noreau,S. Noreau,4,0,0,0,0,1,0.00,0.00,0.00,0.00,0.25,1,2,0.33
Bridgeport Sound Tigers,7,RW,Scooter Vaughan,S. Vaughan,33,7,4,5,3,59,0.21,0.12,0.15,0.09,1.79,13,13,0.50
Albany Devils,40,G,Scott Clemmensen,S. Clemmensen,7,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Grand Rapids Griffins,2,D,Scott Czarnowczan,S. Czarnowczan,5,0,2,0,0,4,0.00,0.40,0.00,0.00,0.80,2,1,0.67
Rockford IceHogs,33,G,Scott Darling,S. Darling,15,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Texas Stars,15,C,Scott Glennie,S. Glennie,34,4,14,3,12,60,0.12,0.41,0.09,0.35,1.76,24,22,0.52
Binghamton Senators,35,G,Scott Greenham,S. Greenham,13,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Wilkes-Barre/Scranton Penguins,6,D,Scott Harrington,S. Harrington,21,0,5,0,5,23,0.00,0.24,0.00,0.24,1.10,11,5,0.69
St. John's IceCaps,24,RW,Scott Kosmachuk,S. Kosmachuk,34,6,5,3,2,53,0.18,0.15,0.09,0.06,1.56,5,15,0.25
Lehigh Valley Phantoms,21,C,Scott Laughton,S. Laughton,13,6,5,3,2,32,0.46,0.38,0.23,0.15,2.46,7,9,0.44
Bridgeport Sound Tigers,10,D,Scott Mayfield,S. Mayfield,33,0,5,0,4,32,0.00,0.15,0.00,0.12,0.97,15,17,0.47
Springfield Falcons,33,G,Scott Munroe,S. Munroe,6,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Manchester Monarchs,25,RW,Scott Sabourin,S. Sabourin,20,2,5,2,5,31,0.10,0.25,0.10,0.25,1.55,9,9,0.50
Albany Devils,17,C,Scott Timmins,S. Timmins,23,6,13,5,7,52,0.26,0.57,0.22,0.30,2.26,13,8,0.62
Texas Stars,22,D,Scott Valentine,S. Valentine,18,1,2,1,2,21,0.06,0.11,0.06,0.11,1.17,13,10,0.57
Albany Devils,31,G,Scott Wedgewood,S. Wedgewood,17,0,1,0,0,0,0.00,0.06,0.00,0.00,0.00,0,0,-
Wilkes-Barre/Scranton Penguins,23,LW,Scott Wilson,S. Wilson,21,3,9,2,6,50,0.14,0.43,0.10,0.29,2.38,12,2,0.86
Manchester Monarchs,16,RW,Sean Backman,S. Backman,36,8,11,4,7,115,0.22,0.31,0.11,0.19,3.19,17,11,0.61
Springfield Falcons,17,C,Sean Collins,S. Collins,28,10,9,5,5,71,0.36,0.32,0.18,0.18,2.54,14,12,0.54
Bridgeport Sound Tigers,49,RW,Sebastian Collberg,S. Collberg,16,3,4,3,4,23,0.19,0.25,0.19,0.25,1.44,10,12,0.45
Chicago Wolves,38,RW,Sebastian Wannstrom,S. Wannstrom,17,2,7,1,6,32,0.12,0.41,0.06,0.35,1.88,10,6,0.63
Adirondack Flames,4,D,Sena Acolatse,S. Acolatse,15,2,3,1,3,19,0.13,0.20,0.07,0.20,1.27,8,5,0.62
Providence Bruins,17,RW,Seth Griffith,S. Griffith,3,2,1,1,1,9,0.67,0.33,0.33,0.33,3.00,3,0,1.00
Albany Devils,2,D,Seth Helgeson,S. Helgeson,12,0,1,0,1,7,0.00,0.08,0.00,0.08,0.58,7,4,0.64
Hamilton Bulldogs,38,F,Shane Bakker,S. Bakker,6,0,0,0,0,1,0.00,0.00,0.00,0.00,0.17,0,1,0.00
Grand Rapids Griffins,26,LW,Shane Berschbach,S. Berschbach,5,0,0,0,0,2,0.00,0.00,0.00,0.00,0.40,2,4,0.33
Chicago Wolves,9,RW,Shane Harper,S. Harper,35,12,6,6,4,56,0.34,0.17,0.17,0.11,1.60,15,20,0.43
San Antonio Rampage,44,D,Shane O'Brien,S. O'Brien,22,6,8,4,3,35,0.27,0.36,0.18,0.14,1.59,17,13,0.57
Binghamton Senators,18,LW,Shane Prince,S. Prince,32,11,16,8,11,80,0.34,0.50,0.25,0.34,2.50,23,16,0.59
Hartford Wolf Pack,21,RW,Shawn O'Donnell,S. O'Donnell,13,1,3,1,3,12,0.08,0.23,0.08,0.23,0.92,6,3,0.67
Lehigh Valley Phantoms,14,D,Shayne Gostisbehere,S. Gostisbehere,5,0,5,0,3,10,0.00,1.00,0.00,0.60,2.00,4,4,0.50
Norfolk Admirals,32,D,Shea Theodore,S. Theodore,5,3,2,1,1,14,0.60,0.40,0.20,0.20,2.80,3,4,0.43
Syracuse Crunch,65,D,Slater Koekkoek,S. Koekkoek,34,2,8,1,6,51,0.06,0.24,0.03,0.18,1.50,19,11,0.63
Toronto Marlies,13,RW,Spencer Abbott,S. Abbott,31,7,10,5,6,68,0.23,0.32,0.16,0.19,2.19,16,13,0.55
Providence Bruins,23,F,Spencer Asuchak,S. Asuchak,12,2,4,1,3,19,0.17,0.33,0.08,0.25,1.58,6,5,0.55
Hershey Bears,22,RW,Stanislav Galiev,S. Galiev,27,10,5,2,1,70,0.37,0.19,0.07,0.04,2.59,5,7,0.42
Norfolk Admirals,11,RW,Stefan Noesen,S. Noesen,4,1,2,1,1,8,0.25,0.50,0.25,0.25,2.00,3,4,0.43
Lake Erie Monsters,46,D,Stefan Elliott,S. Elliott,33,9,11,2,6,76,0.27,0.33,0.06,0.18,2.30,29,28,0.51
Albany Devils,18,LW,Stefan Matteau,S. Matteau,29,1,8,1,4,47,0.03,0.28,0.03,0.14,1.62,8,4,0.67
San Antonio Rampage,42,F,Stephan Vigier,S. Vigier,6,0,2,0,2,6,0.00,0.33,0.00,0.33,1.00,2,4,0.33
Iowa Wild,19,LW,Stephane Veilleux,S. Veilleux,27,2,7,2,5,34,0.07,0.26,0.07,0.19,1.26,10,18,0.36
Rockford IceHogs,4,D,Stephen Johns,S. Johns,20,0,6,0,4,32,0.00,0.30,0.00,0.20,1.60,12,6,0.67
Grand Rapids Griffins,90,C,Stephen Weiss,S. Weiss,3,2,0,1,0,4,0.67,0.00,0.33,0.00,1.33,2,1,0.67
Albany Devils,28,RW,Steve Bernier,S. Bernier,9,1,4,1,2,16,0.11,0.44,0.11,0.22,1.78,3,5,0.38
Providence Bruins,44,D,Steve Eminger,S. Eminger,27,2,9,1,4,36,0.07,0.33,0.04,0.15,1.33,20,15,0.57
Norfolk Admirals,33,LW,Steve MacIntyre,S. MacIntyre,18,0,0,0,0,3,0.00,0.00,0.00,0.00,0.17,1,4,0.20
Springfield Falcons,21,D,Steve McCarthy,S. McCarthy,3,0,0,0,0,1,0.00,0.00,0.00,0.00,0.33,1,0,1.00
Hershey Bears,7,D,Steve Oleksy,S. Oleksy,33,4,5,3,4,43,0.12,0.15,0.09,0.12,1.30,21,15,0.58
Oklahoma City Barons,13,RW,Steve Pinizzotto,S. Pinizzotto,10,1,6,1,4,12,0.10,0.60,0.10,0.40,1.20,5,2,0.71
Hartford Wolf Pack,44,D,Steve Spinell,S. Spinell,24,0,1,0,1,14,0.00,0.04,0.00,0.04,0.58,7,10,0.41
Lehigh Valley Phantoms,5,D,Steven Delisle,S. Delisle,27,0,8,0,7,49,0.00,0.30,0.00,0.26,1.81,14,13,0.52
San Antonio Rampage,11,C,Steven Hodges,S. Hodges,22,1,1,1,1,19,0.05,0.05,0.05,0.05,0.86,3,6,0.33
San Antonio Rampage,8,D,Steven Kampfer,S. Kampfer,33,7,7,3,3,84,0.21,0.21,0.09,0.09,2.55,22,20,0.52
Rochester Americans,44,D,Steven Shamanski,S. Shamanski,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,1,0.50
Iowa Wild,41,D,Stu Bickel,S. Bickel,9,0,3,0,2,12,0.00,0.33,0.00,0.22,1.33,5,10,0.33
Toronto Marlies,10,D,Stuart Percy,S. Percy,15,0,3,0,1,23,0.00,0.20,0.00,0.07,1.53,6,12,0.33
Hamilton Bulldogs,27,C,Sven Andrighetto,S. Andrighetto,21,9,9,6,6,63,0.43,0.43,0.29,0.29,3.00,18,13,0.58
Adirondack Flames,27,LW,Sven Baertschi,S. Baertschi,23,4,10,3,7,48,0.17,0.43,0.13,0.30,2.09,11,8,0.58
Rockford IceHogs,7,D,T.J. Brennan,T. Brennan,36,7,21,6,15,108,0.19,0.58,0.17,0.42,3.00,38,21,0.64
Hamilton Bulldogs,17,C,T.J. Hensick,T. Hensick,35,9,19,9,11,83,0.26,0.54,0.26,0.31,2.37,27,20,0.57
Springfield Falcons,18,C,T.J. Tynan,T. Tynan,36,4,19,3,10,53,0.11,0.53,0.08,0.28,1.47,16,16,0.50
Syracuse Crunch,71,C,Tanner Richard,T. Richard,35,5,13,4,11,58,0.14,0.37,0.11,0.31,1.66,19,3,0.86
Milwaukee Admirals,23,D,Taylor Aronson,T. Aronson,32,3,14,3,4,20,0.09,0.44,0.09,0.13,0.63,22,19,0.54
Wilkes-Barre/Scranton Penguins,4,D,Taylor Chorney,T. Chorney,32,2,7,1,5,42,0.06,0.22,0.03,0.16,1.31,25,9,0.74
Worcester Sharks,4,D,Taylor Doherty,T. Doherty,19,1,3,1,3,27,0.05,0.16,0.05,0.16,1.42,16,20,0.44
Worcester Sharks,14,D,Taylor Fedun,T. Fedun,33,1,15,1,8,66,0.03,0.45,0.03,0.24,2.00,16,15,0.52
Lehigh Valley Phantoms,23,LW,Taylor Leier,T. Leier,30,8,7,4,5,54,0.27,0.23,0.13,0.17,1.80,13,12,0.52
Texas Stars,25,C,Taylor Peters,T. Peters,22,0,2,0,2,13,0.00,0.09,0.00,0.09,0.59,7,11,0.39
Texas Stars,17,LW,Taylor Stefishen,T. Stefishen,4,0,1,0,1,6,0.00,0.25,0.00,0.25,1.50,2,1,0.67
Adirondack Flames,34,C,Taylor Vause,T. Vause,17,3,4,3,2,35,0.18,0.24,0.18,0.12,2.06,7,4,0.64
Grand Rapids Griffins,6,RW,Teemu Pulkkinen,T. Pulkkinen,33,20,19,14,13,125,0.61,0.58,0.42,0.39,3.79,27,22,0.55
Chicago Wolves,37,LW,Terry Broadhurst,T. Broadhurst,30,4,9,1,8,42,0.13,0.30,0.03,0.27,1.40,14,17,0.45
Rockford IceHogs,21,C,Teuvo Teravainen,T. Teravainen,33,6,17,3,11,92,0.18,0.52,0.09,0.33,2.79,20,19,0.51
Springfield Falcons,37,D,Thomas Larkin,T. Larkin,32,3,10,1,9,27,0.09,0.31,0.03,0.28,0.84,18,11,0.62
Hershey Bears,13,C,Tim Kennedy,T. Kennedy,34,2,25,3,12,44,0.06,0.74,0.09,0.35,1.29,16,13,0.55
Rochester Americans,11,C,Tim Schaller,T. Schaller,34,10,13,5,9,86,0.29,0.38,0.15,0.26,2.53,13,13,0.50
Albany Devils,12,C,Tim Sestito,T. Sestito,27,6,7,4,5,57,0.22,0.26,0.15,0.19,2.11,12,13,0.48
Hershey Bears,27,LW,Tim Spencer,T. Spencer,12,0,0,0,0,6,0.00,0.00,0.00,0.00,0.50,1,1,0.50
Portland Pirates,9,RW,Tobias Rieder,T. Rieder,9,4,1,2,1,25,0.44,0.11,0.22,0.11,2.78,6,6,0.50
Wilkes-Barre/Scranton Penguins,29,RW,Tom Kostopoulos,T. Kostopoulos,34,6,11,5,5,57,0.18,0.32,0.15,0.15,1.68,14,10,0.58
Wilkes-Barre/Scranton Penguins,14,RW,Tom Kuhnhackl,T. Kuhnhackl,33,2,4,1,4,47,0.06,0.12,0.03,0.12,1.42,10,6,0.63
Grand Rapids Griffins,30,G,Tom McCollum,T. McCollum,20,0,1,0,1,0,0.00,0.05,0.00,0.05,0.00,0,0,-
Toronto Marlies,25,D,Tom Nilsson,T. Nilsson,35,1,5,1,4,26,0.03,0.14,0.03,0.11,0.74,22,19,0.54
Utica Comets,27,LW,Tom Sestito,T. Sestito,3,0,0,4,5,4,0.00,0.00,1.33,1.67,1.33,12,13,0.48
Hershey Bears,14,RW,Tom Wilson,T. Wilson,2,0,0,0,0,5,0.00,0.00,0.00,0.00,2.50,1,1,0.50
Hartford Wolf Pack,7,D,Tomas Kaberle,T. Kaberle,2,0,2,0,0,4,0.00,1.00,0.00,0.00,2.00,0,2,0.00
Hershey Bears,34,D,Tomas Kundratek,T. Kundratek,34,0,15,0,9,61,0.00,0.44,0.00,0.26,1.79,15,16,0.48
Grand Rapids Griffins,19,C,Tomas Nosek,T. Nosek,17,3,8,2,6,27,0.18,0.47,0.12,0.35,1.59,10,5,0.67
Lake Erie Monsters,81,RW,Tomas Vincour,T. Vincour,11,1,3,1,1,21,0.09,0.27,0.09,0.09,1.91,1,4,0.20
Providence Bruins,3,D,Tommy Cross,T. Cross,28,1,9,1,3,39,0.04,0.32,0.04,0.11,1.39,16,16,0.50
Hartford Wolf Pack,5,D,Tommy Hughes,T. Hughes,28,1,2,0,2,25,0.04,0.07,0.00,0.07,0.89,13,16,0.45
San Antonio Rampage,36,LW,Tony Turgeon,T. Turgeon,7,0,0,0,0,7,0.00,0.00,0.00,0.00,1.00,1,3,0.25
Utica Comets,2,D,Travis Ehrhardt,T. Ehrhardt,18,1,3,1,1,16,0.06,0.17,0.06,0.06,0.89,9,11,0.45
Oklahoma City Barons,21,C,Travis Ewanyk,T. Ewanyk,32,1,2,1,2,52,0.03,0.06,0.03,0.06,1.63,8,20,0.29
Texas Stars,23,C,Travis Morin,T. Morin,24,11,15,8,7,68,0.46,0.63,0.33,0.29,2.83,19,16,0.54
Worcester Sharks,21,C,Travis Oleksuk,T. Oleksuk,27,3,4,3,4,38,0.11,0.15,0.11,0.15,1.41,10,10,0.50
Springfield Falcons,13,RW,Trent Vogelhuber,T. Vogelhuber,36,6,4,5,3,36,0.17,0.11,0.14,0.08,1.00,12,9,0.57
Charlotte Checkers,5,D,Trevor Carrick,T. Carrick,35,2,8,1,7,58,0.06,0.23,0.03,0.20,1.66,17,21,0.45
Lake Erie Monsters,39,LW,Trevor Cheek,T. Cheek,25,3,5,3,5,32,0.12,0.20,0.12,0.20,1.28,10,11,0.48
Adirondack Flames,24,LW,Trevor Gillies,T. Gillies,11,0,0,0,0,1,0.00,0.00,0.00,0.00,0.09,0,3,0.00
Toronto Marlies,23,C,Trevor Smith,T. Smith,8,2,3,1,3,12,0.25,0.38,0.13,0.38,1.50,6,4,0.60
Milwaukee Admirals,21,LW,Triston Grant,T. Grant,31,1,4,1,4,54,0.03,0.13,0.03,0.13,1.74,9,14,0.39
Toronto Marlies,19,LW,Troy Bodie,T. Bodie,32,5,2,3,2,51,0.16,0.06,0.09,0.06,1.59,9,12,0.43
Lake Erie Monsters,14,C,Troy Bourke,T. Bourke,23,4,7,3,6,22,0.17,0.30,0.13,0.26,0.96,14,6,0.70
Worcester Sharks,1,G,Troy Grosenick,T. Grosenick,19,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Adirondack Flames,13,C,Turner Elson,T. Elson,29,4,6,4,5,57,0.14,0.21,0.14,0.17,1.97,12,11,0.52
Chicago Wolves,8,RW,Ty Rattie,T. Rattie,35,15,8,11,5,113,0.43,0.23,0.31,0.14,3.23,20,10,0.67
Grand Rapids Griffins,25,F,Tyler Barnes,T. Barnes,1,0,0,0,0,1,0.00,0.00,0.00,0.00,1.00,0,0,-
Toronto Marlies,22,RW,Tyler Biggs,T. Biggs,28,2,1,2,1,38,0.07,0.04,0.07,0.04,1.36,8,7,0.53
Portland Pirates,32,C,Tyler Gaudet,T. Gaudet,31,4,4,2,3,35,0.13,0.13,0.06,0.10,1.13,10,10,0.50
Iowa Wild,4,F,Tyler Graovac,T. Graovac,31,12,12,6,7,86,0.39,0.39,0.19,0.23,2.77,16,19,0.46
Worcester Sharks,8,RW,Tyler Kennedy,T. Kennedy,3,2,1,3,12,12,0.67,0.33,1.00,4.00,4.00,16,13,0.55
Oklahoma City Barons,9,RW,Tyler Pitlick,T. Pitlick,14,3,6,2,3,36,0.21,0.43,0.14,0.21,2.57,7,8,0.47
Providence Bruins,11,RW,Tyler Randell,T. Randell,34,5,3,3,3,53,0.15,0.09,0.09,0.09,1.56,9,9,0.50
Worcester Sharks,38,RW,Tyler Shattock,T. Shattock,3,0,0,0,0,2,0.00,0.00,0.00,0.00,0.67,0,0,-
Adirondack Flames,49,C,Tyler Spurgeon,T. Spurgeon,1,0,0,0,0,2,0.00,0.00,0.00,0.00,2.00,0,0,-
Adirondack Flames,5,D,Tyler Wotherspoon,T. Wotherspoon,35,2,12,1,8,60,0.06,0.34,0.03,0.23,1.71,20,21,0.49
Texas Stars,37,RW,Valeri Nichushkin,V. Nichushkin,2,0,1,0,0,7,0.00,0.50,0.00,0.00,3.50,0,2,0.00
Milwaukee Admirals,33,RW,Viktor Arvidsson,V. Arvidsson,33,10,10,4,6,104,0.30,0.30,0.12,0.18,3.15,12,11,0.52
Toronto Marlies,50,D,Viktor Loov,V. Loov,34,2,8,2,6,42,0.06,0.24,0.06,0.18,1.24,21,17,0.55
Milwaukee Admirals,25,LW,Viktor Stalberg,V. Stalberg,6,2,4,1,4,16,0.33,0.67,0.17,0.67,2.67,5,2,0.71
Rockford IceHogs,8,D,Viktor Svedberg,V. Svedberg,27,2,4,2,3,33,0.07,0.15,0.07,0.11,1.22,14,10,0.58
Rockford IceHogs,29,D,Ville Pokka,V. Pokka,30,6,8,3,7,72,0.20,0.27,0.10,0.23,2.40,25,19,0.57
Manchester Monarchs,5,D,Vincent LoVerde,V. LoVerde,32,4,3,3,2,44,0.13,0.09,0.09,0.06,1.38,20,13,0.61
San Antonio Rampage,14,C,Vincent Trocheck,V. Trocheck,8,2,4,2,3,16,0.25,0.50,0.25,0.38,2.00,9,3,0.75
Hartford Wolf Pack,47,RW,Vinny Saponari,V. Saponari,3,0,1,0,1,1,0.00,0.33,0.00,0.33,0.33,1,1,0.50
Syracuse Crunch,90,C,Vladislav Namestnikov,V. Namestnikov,14,7,8,3,6,42,0.50,0.57,0.21,0.43,3.00,8,6,0.57
Utica Comets,36,C,Wacey Hamilton,W. Hamilton,31,4,9,4,8,42,0.13,0.29,0.13,0.26,1.35,15,9,0.63
San Antonio Rampage,28,C,Wade Megan,W. Megan,21,0,1,0,1,31,0.00,0.05,0.00,0.05,1.48,4,10,0.29
Providence Bruins,16,F,Wayne Simpson,W. Simpson,2,0,0,0,0,1,0.00,0.00,0.00,0.00,0.50,0,1,0.00
Utica Comets,41,C,Will Acton,W. Acton,22,4,5,4,4,48,0.18,0.23,0.18,0.18,2.18,8,10,0.44
St. John's IceCaps,27,D,Will O'Neill,W. O'Neill,33,5,12,1,7,74,0.15,0.36,0.03,0.21,2.24,19,25,0.43
Springfield Falcons,4,D,Will Weber,W. Weber,10,0,0,0,0,9,0.00,0.00,0.00,0.00,0.90,5,4,0.56
Rochester Americans,28,LW,William Carrier,W. Carrier,33,2,3,2,3,29,0.06,0.09,0.06,0.09,0.88,10,10,0.50
Norfolk Admirals,22,C,William Karlsson,W. Karlsson,18,4,4,2,1,35,0.22,0.22,0.11,0.06,1.94,5,9,0.36
Texas Stars,2,D,William Wrenn,W. Wrenn,20,1,1,1,1,13,0.05,0.05,0.05,0.05,0.65,8,12,0.40
Worcester Sharks,26,RW,Willie Coetzee,W. Coetzee,6,2,2,2,2,12,0.33,0.33,0.33,0.33,2.00,4,0,1.00
Grand Rapids Griffins,16,D,Xavier Ouellet,X. Ouellet,21,1,7,1,5,56,0.05,0.33,0.05,0.24,2.67,19,14,0.58
Hartford Wolf Pack,0,G,Yann Danis,Y. Danis,11,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
St. John's IceCaps,20,D,Yann Sauve,Y. Sauve,4,1,0,0,0,6,0.25,0.00,0.00,0.00,1.50,2,2,0.50
Syracuse Crunch,37,LW,Yanni Gourde,Y. Gourde,35,13,14,10,12,73,0.37,0.40,0.29,0.34,2.09,23,10,0.70
Chicago Wolves,18,LW,Yannick Veilleux,Y. Veilleux,27,4,1,3,1,35,0.15,0.04,0.11,0.04,1.30,8,10,0.44
Rochester Americans,21,RW,Zac Dalpe,Z. Dalpe,29,6,6,3,4,82,0.21,0.21,0.10,0.14,2.83,10,15,0.40
Charlotte Checkers,11,LW,Zach Boychuk,Z. Boychuk,2,1,0,1,0,8,0.50,0.00,0.50,0.00,4.00,1,0,1.00
Milwaukee Admirals,24,RW,Zach Budish,Z. Budish,7,2,2,2,2,11,0.29,0.29,0.29,0.29,1.57,5,2,0.71
Rockford IceHogs,3,D,Zach Miskovic,Z. Miskovic,19,1,1,1,1,28,0.05,0.05,0.05,0.05,1.47,8,9,0.47
Manchester Monarchs,10,RW,Zach O'Brien,Z. O'Brien,31,8,9,8,7,53,0.26,0.29,0.26,0.23,1.71,20,12,0.63
Providence Bruins,37,D,Zach Trotman,Z. Trotman,11,0,3,0,1,16,0.00,0.27,0.00,0.09,1.45,4,15,0.21
Iowa Wild,18,F,Zack Mitchell,Z. Mitchell,34,9,6,6,6,56,0.26,0.18,0.18,0.18,1.65,18,19,0.49
Iowa Wild,51,C,Zack Phillips,Z. Phillips,34,5,8,3,6,54,0.15,0.24,0.09,0.18,1.59,12,17,0.41
Lehigh Valley Phantoms,45,RW,Zack Stortini,Z. Stortini,33,5,8,4,5,52,0.15,0.24,0.12,0.15,1.58,13,9,0.59
Wilkes-Barre/Scranton Penguins,42,C,Zack Torquato,Z. Torquato,12,1,1,0,1,13,0.08,0.08,0.00,0.08,1.08,3,2,0.60
